upper_1 [1182.34,709.98] [1252.55,702.91] [1249.57,830.84] [1179.04,836.74]
upper_2 [1294.01,698.73] [1373.01,690.76] [1370.60,820.70] [1291.23,827.35]
upper_3 [1384.34,689.62] [1459.13,682.08] [1457.14,813.46] [1381.98,819.75]
upper_4 [1522.25,675.72] [1606.86,667.19] [1605.61,801.03] [1520.57,808.15]
upper_5 [1650.22,662.82] [1737.67,654.00] [1737.10,790.03] [1649.19,797.38]
upper_6 [1783.23,649.41] [1873.68,640.29] [1873.84,778.58] [1782.90,786.19]
upper_7 [1920.82,635.54] [2014.43,626.10] [2015.38,766.73] [1921.25,774.61]
upper_8 [2062.44,621.26] [2159.36,611.49] [2161.14,754.53] [2063.66,762.69]
upper_9 [2209.90,606.40] [2310.32,596.27] [2313.00,741.82] [2211.98,750.27]
upper_10 [2362.70,590.99] [2466.82,580.50] [2470.47,728.64] [2365.71,737.41]
upper_11 [2520.28,575.11] [2628.28,564.22] [2632.96,715.04] [2524.26,724.13]
upper_12 [2684.66,558.54] [2796.79,547.23] [2802.59,700.84] [2689.71,710.28]
upper_13 [2855.35,541.33] [2971.86,529.58] [2978.85,686.08] [2861.55,695.90]
upper_14 [3032.72,523.45] [3153.86,511.24] [3162.15,670.74] [3040.15,680.95]
upper_15 [3216.14,504.96] [3342.16,492.25] [3351.83,654.86] [3224.88,665.49]
middle_1 [1177.05,937.51] [1248.50,932.51] [1245.47,1062.79] [1173.69,1066.57]
middle_2 [1259.56,931.73] [1339.27,926.14] [1336.67,1057.99] [1256.58,1062.20]
middle_3 [1380.10,923.28] [1455.55,917.99] [1453.52,1051.83] [1377.70,1055.83]
middle_4 [1550.76,911.32] [1636.12,905.34] [1635.01,1042.28] [1549.21,1046.79]
middle_5 [1680.97,902.19] [1769.23,896.01] [1768.82,1035.23] [1680.09,1039.90]
middle_6 [1816.36,892.70] [1907.70,886.30] [1908.05,1027.90] [1816.21,1032.73]
middle_7 [1956.49,882.88] [2051.06,876.25] [2052.22,1020.31] [1957.11,1025.32]
middle_8 [2100.78,872.77] [2198.74,865.90] [2200.78,1012.49] [2102.24,1017.67]
middle_9 [2251.10,862.23] [2352.66,855.11] [2355.63,1004.33] [2253.45,1009.71]
middle_10 [2406.95,851.30] [2512.31,843.92] [2516.28,995.87] [2410.26,1001.45]
middle_11 [2527.44,842.86] [2635.78,835.27] [2640.56,989.33] [2531.51,995.07]
middle_12 [2735.60,828.27] [2849.20,820.31] [2855.41,978.01] [2741.05,984.04]
middle_13 [2909.99,816.04] [3028.09,807.77] [3035.55,968.53] [2916.63,974.79]
middle_14 [3091.32,803.33] [3214.18,794.72] [3223.00,958.66] [3099.24,965.18]
middle_15 [3277.89,790.26] [3405.76,781.29] [3416.02,948.50] [3287.18,955.28]
lower_1 [1169.73,1169.27] [1241.09,1166.51] [1237.11,1337.16] [1165.32,1338.30]
lower_2 [1314.51,1163.66] [1363.59,1161.76] [1360.37,1335.20] [1310.98,1335.99]
lower_3 [1375.79,1161.28] [1458.14,1158.09] [1455.52,1333.69] [1372.64,1335.01]
lower_4 [1515.45,1155.87] [1633.40,1151.30] [1631.93,1330.89] [1513.20,1332.77]
lower_5 [1646.48,1150.79] [1768.50,1146.06] [1767.96,1328.72] [1645.11,1330.68]
lower_6 [1822.94,1143.95] [1872.72,1142.02] [1872.93,1327.06] [1822.78,1327.85]
lower_7 [1921.57,1140.12] [2053.15,1135.02] [2054.68,1324.17] [1922.13,1326.28]
lower_8 [2066.87,1134.49] [2202.40,1129.23] [2205.07,1321.78] [2068.50,1323.95]
lower_9 [2254.47,1127.21] [2357.13,1123.23] [2361.02,1319.30] [2257.55,1320.95]
lower_10 [2420.80,1120.77] [2478.30,1118.54] [2483.18,1317.36] [2425.21,1318.28]
lower_11 [2534.76,1116.35] [2686.18,1110.48] [2692.82,1314.03] [2540.12,1316.46]
lower_12 [2702.08,1109.86] [2816.90,1105.41] [2824.65,1310.75] [2708.82,1312.61]
lower_13 [2876.89,1103.08] [3040.49,1096.74] [3050.31,1308.35] [2885.22,1310.97]
lower_14 [3057.69,1096.07] [3170.49,1091.70] [3181.53,1306.26] [3067.66,1308.07]
