upper_1 [1191.14,661.12] [1262.33,653.91] [1261.38,784.12] [1189.96,790.19]
upper_2 [1304.35,649.66] [1384.34,641.56] [1383.77,773.73] [1303.52,780.54]
upper_3 [1395.80,640.40] [1471.44,632.74] [1471.15,766.30] [1395.26,772.75]
upper_4 [1535.21,626.28] [1620.61,617.63] [1620.82,753.59] [1535.13,760.87]
upper_5 [1664.34,613.20] [1752.45,604.28] [1753.11,742.35] [1664.70,749.86]
upper_6 [1798.32,599.63] [1889.30,590.42] [1890.45,730.69] [1799.15,738.44]
upper_7 [1936.67,585.62] [2030.64,576.11] [2032.31,718.64] [1937.99,726.65]
upper_8 [2078.79,571.23] [2175.90,561.40] [2178.12,706.25] [2080.64,714.53]
upper_9 [2226.49,556.27] [2326.91,546.10] [2329.71,693.38] [2228.90,701.94]
upper_10 [2379.24,540.80] [2483.14,530.28] [2486.58,680.05] [2382.26,688.91]
upper_11 [2536.42,524.89] [2643.97,513.99] [2648.08,666.34] [2540.08,675.51]
upper_12 [2700.05,508.32] [2811.46,497.03] [2816.29,652.05] [2704.40,661.55]
upper_13 [2869.58,491.15] [2985.07,479.45] [2990.66,637.24] [2874.66,647.09]
upper_14 [3045.33,473.35] [3165.12,461.22] [3171.54,621.87] [3051.20,632.09]
upper_15 [3226.63,454.99] [3350.95,442.40] [3358.25,606.01] [3233.34,616.62]
middle_1 [1189.67,892.47] [1261.93,887.27] [1260.97,1019.01] [1188.49,1023.03]
middle_2 [1273.12,886.46] [1353.63,880.67] [1352.96,1013.91] [1272.19,1018.39]
middle_3 [1394.84,877.70] [1470.92,872.22] [1470.63,1007.38] [1394.30,1011.62]
middle_4 [1566.81,865.32] [1652.67,859.14] [1652.99,997.27] [1566.84,1002.05]
middle_5 [1697.73,855.89] [1786.35,849.52] [1787.13,989.83] [1698.21,994.76]
middle_6 [1833.62,846.11] [1925.14,839.52] [1926.43,982.10] [1834.58,987.20]
middle_7 [1973.98,836.01] [2068.54,829.20] [2070.36,974.12] [1975.44,979.38]
middle_8 [2118.22,825.62] [2215.97,818.59] [2218.36,965.91] [2120.23,971.35]
middle_9 [2268.16,814.83] [2369.29,807.55] [2372.28,957.37] [2270.75,963.00]
middle_10 [2423.29,803.66] [2527.96,796.13] [2531.61,948.54] [2426.51,954.37]
middle_11 [2542.98,795.04] [2650.43,787.31] [2654.59,941.72] [2546.69,947.70]
middle_12 [2749.29,780.19] [2861.62,772.11] [2866.69,929.95] [2753.88,936.21]
middle_13 [2921.66,767.78] [3038.14,759.40] [3044.01,920.12] [2927.01,926.61]
middle_14 [3100.43,754.91] [3221.30,746.21] [3228.03,909.91] [3106.59,916.65]
middle_15 [3283.90,741.71] [3409.37,732.67] [3416.99,899.43] [3290.92,906.42]
lower_1 [1186.25,1126.60] [1258.22,1123.56] [1256.96,1294.90] [1184.70,1296.40]
lower_2 [1332.19,1120.42] [1381.59,1118.33] [1380.84,1292.31] [1331.23,1293.35]
lower_3 [1393.87,1117.81] [1476.66,1114.30] [1476.31,1290.32] [1393.17,1292.06]
lower_4 [1534.22,1111.87] [1652.52,1106.85] [1652.93,1286.64] [1534.11,1289.12]
lower_5 [1665.63,1106.30] [1787.76,1101.13] [1788.78,1283.81] [1666.10,1286.37]
lower_6 [1842.18,1098.82] [1891.90,1096.71] [1893.41,1281.63] [1843.45,1282.67]
lower_7 [1940.66,1094.65] [2071.81,1089.09] [2074.18,1277.86] [1942.40,1280.61]
lower_8 [2085.47,1088.52] [2220.25,1082.81] [2223.36,1274.75] [2087.90,1277.57]
lower_9 [2271.97,1080.62] [2373.80,1076.30] [2377.70,1271.53] [2275.35,1273.67]
lower_10 [2436.88,1073.63] [2493.79,1071.22] [2498.33,1269.02] [2441.11,1270.21]
lower_11 [2549.63,1068.85] [2699.15,1062.52] [2704.80,1264.71] [2554.47,1267.85]
lower_12 [2714.83,1061.86] [2827.96,1057.07] [2834.30,1260.84] [2720.53,1263.23]
lower_13 [2886.98,1054.57] [3047.69,1047.76] [3055.34,1257.40] [2893.70,1260.77]
lower_14 [3064.55,1047.04] [3175.09,1042.36] [3183.51,1254.73] [3072.31,1257.05]
