upper_1 [701.15,754.05] [827.46,759.31] [812.43,907.96] [684.68,903.19]
upper_2 [900.53,762.35] [1036.71,768.02] [1024.04,915.86] [886.33,910.72]
upper_3 [1055.92,768.82] [1180.79,774.02] [1169.73,921.30] [1043.46,916.59]
upper_4 [1283.61,778.30] [1417.91,783.89] [1409.47,930.25] [1273.69,925.18]
upper_5 [1485.21,786.69] [1617.94,792.22] [1611.68,937.80] [1477.51,932.79]
upper_6 [1685.54,795.03] [1816.71,800.50] [1812.60,945.31] [1680.02,940.36]
upper_7 [1883.53,803.28] [2013.18,808.68] [2011.16,952.72] [1880.13,947.83]
upper_8 [2078.16,811.38] [2206.31,816.72] [2206.32,960.01] [2076.82,955.17]
upper_9 [2271.59,819.44] [2398.27,824.71] [2400.29,967.25] [2272.29,962.47]
upper_10 [2462.81,827.40] [2588.04,832.61] [2592.01,974.41] [2465.49,969.68]
upper_11 [2650.81,835.22] [2774.63,840.38] [2780.49,981.45] [2655.42,976.78]
upper_12 [2837.71,843.01] [2960.12,848.10] [2967.85,988.44] [2844.21,983.83]
upper_13 [3022.49,850.70] [3143.53,855.74] [3153.08,995.36] [3030.84,990.79]
upper_14 [3205.20,858.31] [3324.88,863.29] [3336.22,1002.20] [3215.36,997.68]
upper_15 [3384.88,865.79] [3503.24,870.72] [3516.31,1008.92] [3396.80,1004.46]
middle_1 [672.62,1023.12] [802.68,1027.53] [787.08,1182.12] [655.50,1178.25]
middle_2 [822.52,1028.20] [963.04,1032.97] [949.28,1186.89] [807.14,1182.71]
middle_3 [1033.45,1035.35] [1160.84,1039.67] [1149.34,1192.78] [1020.50,1188.99]
middle_4 [1316.79,1044.95] [1452.22,1049.54] [1444.00,1201.45] [1307.05,1197.42]
middle_5 [1521.78,1051.90] [1655.60,1056.44] [1649.63,1207.50] [1514.33,1203.52]
middle_6 [1725.43,1058.80] [1857.66,1063.28] [1853.91,1213.51] [1720.24,1209.58]
middle_7 [1926.66,1065.62] [2057.33,1070.05] [2055.74,1219.45] [1923.67,1215.56]
middle_8 [2124.44,1072.32] [2253.57,1076.70] [2254.09,1225.29] [2123.58,1221.45]
middle_9 [2320.96,1078.98] [2448.59,1083.31] [2451.17,1231.09] [2322.20,1227.29]
middle_10 [2515.20,1085.57] [2641.33,1089.84] [2645.93,1236.82] [2518.48,1233.07]
middle_11 [2659.12,1090.44] [2784.16,1094.68] [2790.24,1241.06] [2663.91,1237.35]
middle_12 [2895.89,1098.47] [3019.14,1102.64] [3027.62,1248.05] [2903.11,1244.39]
middle_13 [3083.48,1104.82] [3205.32,1108.95] [3215.68,1253.58] [3092.61,1249.96]
middle_14 [3268.92,1111.11] [3389.38,1115.19] [3401.57,1259.05] [3279.92,1255.47]
middle_15 [3450.27,1117.25] [3569.38,1121.29] [3583.34,1264.40] [3463.06,1260.86]
lower_1 [639.33,1302.94] [770.95,1306.34] [749.96,1513.72] [616.33,1511.07]
lower_2 [902.77,1309.74] [988.91,1311.97] [971.23,1518.12] [883.78,1516.38]
lower_3 [1010.09,1312.52] [1150.60,1316.15] [1135.34,1521.38] [992.72,1518.55]
lower_4 [1245.96,1318.61] [1436.25,1323.53] [1425.22,1527.14] [1232.12,1523.30]
lower_5 [1456.88,1324.06] [1644.84,1328.92] [1636.85,1531.34] [1446.15,1527.55]
lower_6 [1726.22,1331.02] [1799.34,1332.91] [1793.58,1534.46] [1719.40,1532.98]
lower_7 [1869.92,1334.74] [2054.47,1339.51] [2052.35,1539.60] [1865.17,1535.88]
lower_8 [2073.26,1339.99] [2254.51,1344.67] [2255.20,1543.63] [2071.41,1539.98]
lower_9 [2322.10,1346.42] [2452.16,1349.78] [2455.61,1547.61] [2323.74,1544.99]
lower_10 [2530.79,1351.81] [2600.48,1353.61] [2605.96,1550.60] [2535.31,1549.19]
lower_11 [2667.75,1355.35] [2842.63,1359.87] [2851.40,1555.47] [2674.15,1551.95]
lower_12 [2860.54,1360.34] [2987.48,1363.62] [2998.13,1557.27] [2869.51,1554.71]
lower_13 [3052.13,1365.29] [3222.97,1369.70] [3236.80,1563.13] [3063.71,1559.69]
lower_14 [3240.46,1370.15] [3353.23,1373.07] [3368.78,1565.75] [3254.53,1563.48]
