upper_1 [1154.73,654.93] [1226.89,647.47] [1228.76,779.06] [1156.48,785.39]
upper_2 [1269.46,643.06] [1350.47,634.69] [1352.53,768.22] [1271.40,775.33]
upper_3 [1362.07,633.49] [1438.61,625.57] [1440.83,760.49] [1364.15,767.20]
upper_4 [1503.11,618.90] [1589.44,609.98] [1591.91,747.25] [1505.44,754.83]
upper_5 [1633.62,605.41] [1722.61,596.21] [1725.31,735.57] [1636.17,743.38]
upper_6 [1768.90,591.42] [1860.68,581.93] [1863.63,723.46] [1771.69,731.51]
upper_7 [1908.44,576.99] [2003.13,567.20] [2006.35,710.96] [1911.48,719.26]
upper_8 [2051.63,562.19] [2149.37,552.08] [2152.86,698.12] [2054.93,706.70]
upper_9 [2200.27,546.82] [2301.23,536.38] [2305.01,684.80] [2203.86,693.66]
upper_10 [2353.82,530.94] [2458.15,520.15] [2462.25,671.02] [2357.70,680.18]
upper_11 [2511.63,514.62] [2619.50,503.47] [2623.93,656.86] [2515.84,666.33]
upper_12 [2675.72,497.66] [2787.32,486.12] [2792.09,642.13] [2680.26,651.93]
upper_13 [2845.49,480.10] [2961.03,468.16] [2966.18,626.89] [2850.40,637.03]
upper_14 [3021.27,461.93] [3140.95,449.55] [3146.50,611.09] [3026.56,621.60]
upper_15 [3202.36,443.20] [3326.38,430.38] [3332.35,594.82] [3208.05,605.70]
middle_1 [1158.51,888.44] [1231.56,882.96] [1233.44,1015.23] [1160.28,1019.56]
middle_2 [1242.86,882.11] [1324.20,876.00] [1326.23,1009.73] [1244.76,1014.56]
middle_3 [1365.80,872.88] [1442.58,867.11] [1444.80,1002.71] [1367.90,1007.26]
middle_4 [1539.28,859.85] [1625.79,853.35] [1628.33,991.84] [1541.66,996.98]
middle_5 [1671.17,849.95] [1760.36,843.25] [1763.13,983.86] [1673.79,989.15]
middle_6 [1807.91,839.68] [1899.91,832.77] [1902.94,975.58] [1810.77,981.04]
middle_7 [1948.98,829.08] [2043.93,821.95] [2047.23,967.04] [1952.10,972.67]
middle_8 [2093.78,818.21] [2191.81,810.85] [2195.39,958.26] [2097.17,964.08]
middle_9 [2244.12,806.92] [2345.40,799.31] [2349.27,949.15] [2247.80,955.16]
middle_10 [2399.45,795.26] [2504.14,787.39] [2508.34,939.73] [2403.44,945.94]
middle_11 [2519.16,786.27] [2626.52,778.20] [2630.97,932.47] [2523.39,938.84]
middle_12 [2725.21,770.79] [2837.25,762.38] [2842.14,919.97] [2729.87,926.61]
middle_13 [2897.09,757.89] [3013.10,749.17] [3018.38,909.53] [2902.11,916.41]
middle_14 [3075.09,744.52] [3195.29,735.49] [3200.97,898.72] [3080.50,905.85]
middle_15 [3257.48,730.82] [3382.05,721.47] [3388.16,887.63] [3263.31,895.03]
lower_1 [1160.36,1123.24] [1232.93,1119.85] [1235.35,1290.64] [1162.63,1292.55]
lower_2 [1307.46,1116.37] [1357.20,1114.05] [1359.88,1287.38] [1310.03,1288.69]
lower_3 [1369.56,1113.47] [1452.87,1109.58] [1455.76,1284.87] [1372.27,1287.06]
lower_4 [1510.74,1106.88] [1629.60,1101.34] [1632.88,1280.23] [1513.76,1283.35]
lower_5 [1642.77,1100.72] [1765.33,1095.00] [1768.92,1276.67] [1646.08,1279.89]
lower_6 [1819.89,1092.45] [1869.73,1090.13] [1873.56,1273.93] [1823.61,1275.24]
lower_7 [1918.57,1087.85] [2049.84,1081.72] [2054.10,1269.21] [1922.51,1272.65]
lower_8 [2063.50,1081.08] [2198.22,1074.80] [2202.84,1265.31] [2067.79,1268.85]
lower_9 [2249.87,1072.39] [2351.49,1067.64] [2356.50,1261.29] [2254.62,1263.96]
lower_10 [2414.39,1064.71] [2471.11,1062.06] [2476.43,1258.15] [2419.56,1259.64]
lower_11 [2526.73,1059.46] [2675.52,1052.52] [2681.38,1252.78] [2532.20,1256.69]
lower_12 [2691.11,1051.79] [2803.54,1046.54] [2809.71,1248.27] [2696.98,1251.23]
lower_13 [2862.15,1043.81] [3021.57,1036.37] [3028.39,1243.70] [2868.52,1247.88]
lower_14 [3038.28,1035.59] [3147.79,1030.48] [3154.97,1240.38] [3045.15,1243.26]
