upper_1 [1178.64,665.93] [1249.84,658.21] [1247.92,787.98] [1176.43,794.57]
upper_2 [1291.86,653.66] [1371.85,644.99] [1370.45,776.69] [1290.12,784.10]
upper_3 [1383.32,643.74] [1458.96,635.54] [1457.93,768.63] [1381.96,775.63]
upper_4 [1522.73,628.63] [1608.13,619.37] [1607.77,754.82] [1521.99,762.73]
upper_5 [1651.85,614.63] [1739.96,605.08] [1740.22,742.61] [1651.70,750.77]
upper_6 [1785.83,600.11] [1876.79,590.25] [1877.71,729.94] [1786.31,738.37]
upper_7 [1924.16,585.11] [2018.12,574.93] [2019.73,716.85] [1925.30,725.56]
upper_8 [2066.26,569.71] [2163.35,559.18] [2165.70,703.40] [2068.12,712.39]
upper_9 [2213.93,553.70] [2314.32,542.82] [2317.48,689.41] [2216.55,698.71]
upper_10 [2366.64,537.15] [2470.51,525.89] [2474.52,674.94] [2370.08,684.56]
upper_11 [2523.78,520.11] [2631.29,508.46] [2636.20,660.04] [2528.08,670.00]
upper_12 [2687.35,502.38] [2798.72,490.31] [2804.60,644.52] [2692.58,654.84]
upper_13 [2856.81,484.01] [2972.25,471.50] [2979.17,628.43] [2863.04,639.13]
upper_14 [3032.48,464.97] [3152.22,451.99] [3160.25,611.74] [3039.78,622.84]
upper_15 [3213.70,445.32] [3337.95,431.85] [3347.17,594.51] [3222.13,606.04]
middle_1 [1175.31,896.73] [1247.71,890.99] [1245.76,1022.86] [1173.06,1027.42]
middle_2 [1258.92,890.11] [1339.59,883.71] [1338.04,1017.07] [1257.02,1022.15]
middle_3 [1380.89,880.44] [1457.12,874.40] [1456.08,1009.67] [1379.51,1014.47]
middle_4 [1553.21,866.78] [1639.25,859.96] [1639.03,998.19] [1552.60,1003.61]
middle_5 [1684.40,856.39] [1773.20,849.35] [1773.62,989.74] [1684.40,995.34]
middle_6 [1820.58,845.59] [1912.29,838.33] [1913.39,980.98] [1821.22,986.76]
middle_7 [1961.23,834.45] [2056.00,826.94] [2057.82,971.91] [1962.57,977.89]
middle_8 [2105.78,822.99] [2203.75,815.23] [2206.34,962.60] [2107.86,968.77]
middle_9 [2256.06,811.08] [2357.41,803.05] [2360.82,952.90] [2258.93,959.30]
middle_10 [2411.54,798.76] [2516.45,790.45] [2520.74,942.87] [2415.25,949.49]
middle_11 [2531.50,789.25] [2639.20,780.72] [2644.19,935.13] [2535.88,941.92]
middle_12 [2738.29,772.86] [2850.87,763.94] [2857.12,921.77] [2743.86,928.87]
middle_13 [2911.06,759.17] [3027.82,749.92] [3035.14,910.60] [2917.67,917.97]
middle_14 [3090.26,744.97] [3211.43,735.37] [3219.91,899.01] [3097.97,906.66]
middle_15 [3274.17,730.39] [3399.95,720.43] [3409.66,887.10] [3283.06,895.05]
lower_1 [1169.97,1131.33] [1242.23,1127.74] [1239.67,1300.05] [1167.03,1302.08]
lower_2 [1316.49,1124.06] [1366.09,1121.60] [1364.22,1296.56] [1314.35,1297.96]
lower_3 [1378.42,1120.98] [1461.54,1116.86] [1460.22,1293.87] [1376.62,1296.21]
lower_4 [1519.34,1113.99] [1638.13,1108.10] [1637.85,1288.90] [1518.35,1292.24]
lower_5 [1651.30,1107.45] [1773.96,1101.36] [1774.50,1285.07] [1651.10,1288.53]
lower_6 [1828.61,1098.65] [1878.56,1096.17] [1879.77,1282.12] [1829.50,1283.53]
lower_7 [1927.53,1093.74] [2059.27,1087.21] [2061.66,1277.03] [1929.05,1280.74]
lower_8 [2072.99,1086.53] [2208.40,1079.81] [2211.79,1272.83] [2075.47,1276.64]
lower_9 [2260.37,1077.23] [2362.68,1072.16] [2367.15,1268.48] [2264.12,1271.36]
lower_10 [2426.06,1069.01] [2483.25,1066.18] [2488.59,1265.08] [2430.98,1266.69]
lower_11 [2539.37,1063.39] [2689.63,1055.94] [2696.49,1259.25] [2545.11,1263.49]
lower_12 [2705.39,1055.16] [2819.10,1049.52] [2826.90,1254.42] [2712.33,1257.64]
lower_13 [2878.43,1046.57] [3039.98,1038.56] [3049.58,1249.37] [2886.74,1253.93]
lower_14 [3056.93,1037.72] [3168.07,1032.20] [3178.72,1245.75] [3066.67,1248.89]
