upper_1 [696.23,756.87] [823.05,762.30] [808.57,909.58] [680.27,904.67]
upper_2 [896.39,765.44] [1032.99,771.30] [1020.92,917.71] [882.75,912.42]
upper_3 [1052.25,772.12] [1177.44,777.48] [1167.01,923.30] [1040.40,918.46]
upper_4 [1280.46,781.90] [1414.95,787.66] [1407.20,932.50] [1271.20,927.29]
upper_5 [1482.32,790.55] [1615.11,796.24] [1609.59,940.24] [1475.32,935.10]
upper_6 [1682.73,799.13] [1813.85,804.75] [1810.51,947.93] [1677.95,942.86]
upper_7 [1880.62,807.61] [2010.10,813.16] [2008.88,955.53] [1878.00,950.52]
upper_8 [2074.98,815.94] [2202.86,821.42] [2203.70,962.98] [2074.45,958.04]
upper_9 [2267.98,824.21] [2394.29,829.62] [2397.15,970.39] [2269.51,965.50]
upper_10 [2458.61,832.38] [2583.37,837.72] [2588.20,977.70] [2462.15,972.88]
upper_11 [2645.88,840.40] [2769.12,845.68] [2775.87,984.89] [2651.36,980.12]
upper_12 [2831.88,848.37] [2953.63,853.59] [2962.26,992.02] [2839.27,987.31]
upper_13 [3015.64,856.25] [3135.92,861.40] [3146.37,999.07] [3024.89,994.42]
upper_14 [3197.18,864.02] [3316.02,869.12] [3328.26,1006.03] [3208.25,1001.44]
upper_15 [3375.58,871.67] [3493.01,876.70] [3506.98,1012.87] [3388.40,1008.33]
middle_1 [668.61,1023.58] [799.26,1028.10] [784.21,1181.38] [652.01,1177.44]
middle_2 [819.18,1028.79] [960.23,1033.67] [947.07,1186.25] [804.36,1181.99]
middle_3 [1030.87,1036.12] [1158.63,1040.54] [1147.79,1192.24] [1018.54,1188.38]
middle_4 [1314.92,1045.95] [1450.57,1050.64] [1443.07,1201.06] [1305.88,1196.96]
middle_5 [1520.20,1053.05] [1654.11,1057.68] [1648.92,1207.20] [1513.50,1203.16]
middle_6 [1723.96,1060.10] [1856.16,1064.68] [1853.21,1213.30] [1719.55,1209.31]
middle_7 [1925.12,1067.06] [2055.63,1071.58] [2054.88,1219.32] [1922.94,1215.38]
middle_8 [2122.63,1073.90] [2251.51,1078.36] [2252.89,1225.24] [2122.62,1221.35]
middle_9 [2318.74,1080.68] [2445.99,1085.09] [2449.46,1231.10] [2320.84,1227.26]
middle_10 [2512.38,1087.38] [2638.04,1091.73] [2643.54,1236.90] [2516.55,1233.11]
middle_11 [2655.76,1092.35] [2780.25,1096.65] [2787.25,1241.19] [2661.45,1237.43]
middle_12 [2891.43,1100.50] [3014.01,1104.74] [3023.43,1248.24] [2899.58,1244.54]
middle_13 [3077.97,1106.96] [3199.05,1111.15] [3210.35,1253.82] [3088.04,1250.17]
middle_14 [3262.23,1113.33] [3381.83,1117.47] [3394.97,1259.34] [3274.17,1255.73]
middle_15 [3442.27,1119.56] [3560.44,1123.65] [3575.35,1264.72] [3456.01,1261.16]
lower_1 [636.24,1301.16] [768.51,1304.60] [748.24,1510.43] [613.90,1507.78]
lower_2 [900.90,1308.05] [987.37,1310.30] [970.50,1514.80] [882.69,1513.07]
lower_3 [1008.63,1310.86] [1149.59,1314.53] [1135.20,1518.04] [992.08,1515.23]
lower_4 [1245.21,1317.02] [1435.90,1321.98] [1425.83,1523.76] [1232.27,1519.95]
lower_5 [1456.56,1322.52] [1644.74,1327.42] [1637.77,1527.93] [1446.80,1524.17]
lower_6 [1726.15,1329.54] [1799.29,1331.45] [1794.60,1531.02] [1720.38,1529.56]
lower_7 [1869.86,1333.28] [2054.28,1338.09] [2053.28,1536.11] [1866.19,1532.43]
lower_8 [2073.05,1338.58] [2254.00,1343.29] [2255.85,1540.09] [2072.31,1536.48]
lower_9 [2321.45,1345.04] [2451.17,1348.42] [2455.80,1544.03] [2324.26,1541.44]
lower_10 [2529.55,1350.46] [2599.01,1352.27] [2605.70,1546.98] [2535.28,1545.59]
lower_11 [2666.02,1354.02] [2840.16,1358.55] [2850.17,1551.79] [2673.64,1548.32]
lower_12 [2857.99,1359.02] [2984.29,1362.31] [2996.19,1553.56] [2868.19,1551.03]
lower_13 [3048.59,1363.98] [3218.40,1368.40] [3233.51,1559.33] [3061.43,1555.95]
lower_14 [3235.79,1368.85] [3347.81,1371.77] [3364.63,1561.91] [3251.13,1559.68]
