upper_1 [668.43,744.90] [798.01,750.99] [782.47,900.14] [651.15,894.72]
upper_2 [872.81,754.50] [1011.92,761.04] [999.24,909.09] [858.28,903.27]
upper_3 [1031.51,761.97] [1158.67,767.94] [1147.92,915.23] [1019.08,909.91]
upper_4 [1263.13,772.85] [1399.23,779.25] [1391.60,925.29] [1253.74,919.60]
upper_5 [1467.30,782.45] [1601.25,788.75] [1596.20,933.74] [1460.54,928.14]
upper_6 [1669.34,791.95] [1801.18,798.15] [1798.63,942.09] [1665.15,936.58]
upper_7 [1868.20,801.30] [1997.98,807.40] [1997.86,950.32] [1866.49,944.89]
upper_8 [2062.89,810.45] [2190.67,816.46] [2192.90,958.37] [2063.57,953.03]
upper_9 [2255.63,819.52] [2381.44,825.43] [2385.95,966.34] [2258.64,961.08]
upper_10 [2445.40,828.44] [2569.29,834.26] [2576.01,974.19] [2450.67,969.01]
upper_11 [2631.26,837.18] [2753.28,842.91] [2762.14,981.87] [2638.71,976.77]
upper_12 [2815.32,845.83] [2935.50,851.48] [2946.44,989.48] [2824.90,984.46]
upper_13 [2996.62,854.35] [3115.00,859.92] [3127.96,996.97] [3008.25,992.03]
upper_14 [3175.21,862.75] [3291.83,868.23] [3306.74,1004.35] [3188.83,999.48]
upper_15 [3350.19,870.98] [3465.11,876.38] [3481.91,1011.58] [3365.75,1006.79]
middle_1 [638.41,1015.63] [772.34,1020.55] [756.10,1176.74] [620.32,1172.58]
middle_2 [792.73,1021.29] [936.96,1026.58] [922.98,1181.86] [776.78,1177.37]
middle_3 [1009.07,1029.22] [1139.26,1034.00] [1128.00,1188.15] [996.06,1184.10]
middle_4 [1298.15,1039.82] [1435.72,1044.87] [1428.40,1197.36] [1289.01,1193.09]
middle_5 [1506.23,1047.45] [1641.59,1052.41] [1636.94,1203.76] [1499.83,1199.55]
middle_6 [1712.07,1055.00] [1845.25,1059.88] [1843.21,1210.09] [1708.33,1205.95]
middle_7 [1914.61,1062.42] [2045.67,1067.23] [2046.15,1216.31] [1913.45,1212.24]
middle_8 [2112.84,1069.69] [2241.84,1074.42] [2244.75,1222.40] [2114.16,1218.40]
middle_9 [2309.02,1076.89] [2435.99,1081.54] [2441.26,1228.43] [2312.76,1224.49]
middle_10 [2502.12,1083.97] [2627.11,1088.55] [2634.68,1234.36] [2508.20,1230.48]
middle_11 [2644.71,1089.19] [2768.25,1093.72] [2777.49,1238.74] [2652.49,1234.91]
middle_12 [2878.36,1097.76] [2999.54,1102.20] [3011.47,1245.92] [2888.89,1242.16]
middle_13 [3062.67,1104.52] [3182.00,1108.89] [3196.01,1251.58] [3075.32,1247.88]
middle_14 [3244.18,1111.17] [3361.71,1115.48] [3377.73,1257.16] [3258.89,1253.51]
middle_15 [3421.00,1117.65] [3536.79,1121.90] [3554.75,1262.59] [3437.69,1258.99]
lower_1 [603.23,1299.19] [739.31,1302.70] [717.29,1513.92] [578.72,1511.45]
lower_2 [875.20,1306.21] [963.81,1308.50] [945.85,1517.98] [855.65,1516.37]
lower_3 [985.57,1309.07] [1129.68,1312.79] [1114.67,1520.98] [967.99,1518.37]
lower_4 [1227.24,1315.31] [1421.33,1320.33] [1411.42,1526.25] [1213.95,1522.74]
lower_5 [1442.33,1320.87] [1633.19,1325.81] [1626.92,1530.08] [1432.78,1526.63]
lower_6 [1715.59,1327.93] [1789.51,1329.85] [1785.89,1532.90] [1710.72,1531.57]
lower_7 [1860.75,1331.69] [2046.54,1336.49] [2047.19,1537.54] [1858.32,1534.19]
lower_8 [2065.41,1336.98] [2247.09,1341.67] [2251.02,1541.16] [2066.37,1537.88]
lower_9 [2314.68,1343.42] [2444.44,1346.77] [2451.53,1544.73] [2319.69,1542.38]
lower_10 [2522.71,1348.79] [2591.99,1350.59] [2601.42,1547.39] [2531.05,1546.14]
lower_11 [2658.76,1352.31] [2831.90,1356.79] [2845.07,1551.72] [2669.23,1548.59]
lower_12 [2849.60,1357.24] [2974.83,1360.48] [2990.09,1553.18] [2862.96,1550.91]
lower_13 [3038.49,1362.12] [3206.29,1366.46] [3225.12,1558.47] [3054.81,1555.44]
lower_14 [3223.44,1366.90] [3333.84,1369.76] [3354.56,1560.77] [3242.53,1558.78]
