upper_1 [1186.94,659.38] [1258.44,652.34] [1257.74,783.03] [1186.02,788.92]
upper_2 [1300.64,648.18] [1380.97,640.27] [1380.65,772.94] [1300.07,779.56]
upper_3 [1392.48,639.14] [1468.46,631.66] [1468.42,765.73] [1392.20,771.99]
upper_4 [1532.51,625.35] [1618.30,616.90] [1618.76,753.39] [1532.68,760.46]
upper_5 [1662.23,612.57] [1750.75,603.85] [1751.66,742.48] [1662.83,749.77]
upper_6 [1796.84,599.32] [1888.24,590.31] [1889.63,731.15] [1797.91,738.68]
upper_7 [1935.84,585.63] [2030.26,576.33] [2032.18,719.44] [1937.40,727.23]
upper_8 [2078.65,571.56] [2176.24,561.95] [2178.70,707.41] [2080.74,715.46]
upper_9 [2227.09,556.94] [2328.01,547.00] [2331.06,694.90] [2229.74,703.22]
upper_10 [2380.61,541.82] [2485.05,531.54] [2488.72,681.96] [2383.87,690.57]
upper_11 [2538.62,526.26] [2646.73,515.61] [2651.07,668.63] [2542.51,677.54]
upper_12 [2703.12,510.06] [2815.14,499.03] [2820.19,654.74] [2707.69,663.98]
upper_13 [2873.57,493.27] [2989.70,481.84] [2995.52,640.34] [2878.88,649.92]
upper_14 [3050.31,475.87] [3170.78,464.00] [3177.42,625.41] [3056.40,635.34]
upper_15 [3232.65,457.91] [3357.70,445.60] [3365.21,609.99] [3239.58,620.30]
middle_1 [1185.94,891.57] [1258.50,886.56] [1257.79,1018.76] [1185.01,1022.59]
middle_2 [1269.73,885.78] [1350.59,880.19] [1350.17,1013.91] [1269.06,1018.17]
middle_3 [1391.98,877.33] [1468.39,872.05] [1468.35,1007.69] [1391.69,1011.72]
middle_4 [1564.71,865.39] [1650.95,859.43] [1651.52,998.07] [1564.99,1002.61]
middle_5 [1696.22,856.30] [1785.24,850.14] [1786.28,990.98] [1696.95,995.68]
middle_6 [1832.73,846.86] [1924.68,840.50] [1926.22,983.63] [1833.94,988.48]
middle_7 [1973.75,837.11] [2068.77,830.54] [2070.84,976.03] [1975.46,981.04]
middle_8 [2118.69,827.09] [2216.92,820.30] [2219.55,968.21] [2120.94,973.39]
middle_9 [2269.37,816.68] [2371.00,809.65] [2374.24,960.08] [2272.20,965.44]
middle_10 [2425.28,805.90] [2530.49,798.63] [2534.37,951.66] [2428.74,957.21]
middle_11 [2545.59,797.58] [2653.60,790.12] [2658.00,945.16] [2549.54,950.86]
middle_12 [2752.99,783.24] [2865.92,775.44] [2871.22,933.96] [2757.80,939.92]
middle_13 [2926.29,771.26] [3043.42,763.17] [3049.51,924.58] [2931.86,930.77]
middle_14 [3106.05,758.84] [3227.61,750.44] [3234.55,914.86] [3112.43,921.28]
middle_15 [3290.56,746.08] [3416.76,737.36] [3424.60,904.87] [3297.80,911.53]
lower_1 [1182.97,1126.50] [1255.25,1123.65] [1254.32,1295.56] [1181.76,1296.85]
lower_2 [1329.53,1120.73] [1379.14,1118.77] [1378.72,1293.33] [1328.90,1294.22]
lower_3 [1391.47,1118.28] [1474.62,1115.01] [1474.59,1291.62] [1391.10,1293.11]
lower_4 [1532.42,1112.73] [1651.24,1108.04] [1651.98,1288.45] [1532.64,1290.58]
lower_5 [1664.41,1107.52] [1787.10,1102.69] [1788.45,1286.01] [1665.21,1288.21]
lower_6 [1841.76,1100.53] [1891.72,1098.56] [1893.55,1284.13] [1843.36,1285.03]
lower_7 [1940.70,1096.63] [2072.48,1091.43] [2075.17,1280.89] [1942.76,1283.25]
lower_8 [2086.20,1090.89] [2221.63,1085.55] [2225.06,1278.21] [2088.95,1280.64]
lower_9 [2273.61,1083.50] [2375.94,1079.47] [2380.15,1275.43] [2277.29,1277.27]
lower_10 [2439.34,1076.97] [2496.54,1074.71] [2501.38,1273.27] [2443.88,1274.29]
lower_11 [2552.66,1072.50] [2702.95,1066.58] [2708.90,1269.56] [2557.80,1272.26]
lower_12 [2718.71,1065.96] [2832.44,1061.47] [2839.07,1266.06] [2724.72,1268.11]
lower_13 [2891.78,1059.13] [3053.35,1052.76] [3061.30,1263.26] [2898.79,1266.16]
lower_14 [3070.31,1052.09] [3181.47,1047.71] [3190.17,1260.96] [3078.35,1262.95]
